"name","code","asset_code","folder","available","missing","errors","bytes"
"Abigail","c1144","c1144","Abigail","4","0","0","261428"
"Abyssal Yufine","c2016","c2016","Abyssal Yufine","4","0","0","334830"
"Achates","c1017","c1017","Achates","4","0","0","293132"
"Adin","c3143","c3143","Adin","4","0","0","191364"
"Adlay","c3043","c3043","Adlay","4","0","0","210412"
"Adventurer Ras","c5001","c5001","Adventurer Ras","4","0","0","297422"
"ae-GISELLE","c1138","c1138","ae-GISELLE","4","0","0","528346"
"ae-KARINA","c1137","c1137","ae-KARINA","4","0","0","503964"
"ae-NINGNING","c1140","c1140","ae-NINGNING","4","0","0","529738"
"ae-WINTER","c1139","c1139","ae-WINTER","4","0","0","574172"
"Afternoon Soak Flan","c5110","c5110","Afternoon Soak Flan","4","0","0","554952"
"Ainos","c3105","c3105","Ainos","4","0","0","186570"
"Ainos 2.0","c4105","c4105","Ainos 2.0","4","0","0","162612"
"Ains","c3093","c3093","Ains","4","0","0","148466"
"Ainz Ooal Gown","c1155","c1155","Ainz Ooal Gown","4","0","0","328072"
"Aither","c1018","c1018","Aither","4","0","0","209024"
"Aki","c1179","c1179","Aki","4","0","0","372094"
"Albedo","c1156","c1156","Albedo","4","0","0","343894"
"Alencia","c1100","c1100","Alencia","4","0","0","241168"
"Alexa","c3012","c3012","Alexa","4","0","0","158312"
"All-Rounder Wanda","c4065","c4065","All-Rounder Wanda","4","0","0","237282"
"Ambitious Tywin","c2042","c2042","Ambitious Tywin","4","0","0","318330"
"Amid","c1143","c1143","Amid","4","0","0","290140"
"Amiki","c3158","c3158","Amiki","4","0","0","147910"
"Angel of Light Angelica","c6062","c6062","Angel of Light Angelica","4","0","0","482370"
"Angelic Montmorancy","c4042","c4042","Angelic Montmorancy","4","0","0","294970"
"Angelica","c1062","c1062","Angelica","4","0","0","294972"
"Apocalypse Ravi","c2019","c2019","Apocalypse Ravi","4","0","0","228870"
"Aram","c5175","c5175","Aram","4","0","0","340336"
"Aramintha","c1048","c1048","Aramintha","4","0","0","257076"
"Arbiter Vildred","c2007","c2007","Arbiter Vildred","4","0","0","268206"
"Archdemon's Shadow","c5004","m9194","Archdemon's Shadow","4","0","0","383846"
